"","Experiment","Condition","Pair","Block","TrialN","Animal","Number","Movement","Description","Participant","ParticipantID","Score","WordOrder","Marked"
"26928","Experiment2","100-33",63,"Training",24,5,1,2,"boingla oinko","P2","63P2",NA,"VN",FALSE
"26929","Experiment2","100-33",63,"Training",25,3,2,2,"boingla hoppo tid","P1","63P1",NA,"VNP",TRUE
"26930","Experiment2","100-33",63,"Training",25,4,1,1,"wooshla bugo pag","P2","63P2",NA,"VNP",TRUE
"26931","Experiment2","100-33",63,"Training",26,4,2,1,"wooshla bugo tid","P1","63P1",NA,"VNP",TRUE
"26932","Experiment2","100-33",63,"Training",26,1,1,2,"boingla beeko","P2","63P2",NA,"VN",FALSE
"26933","Experiment2","100-33",63,"Training",27,2,1,2,"boingla trunko pag","P1","63P1",NA,"VNP",TRUE
"26934","Experiment2","100-33",63,"Training",27,1,2,2,"boingla beeko tid","P2","63P2",NA,"VNP",TRUE
"26935","Experiment2","100-33",63,"Training",28,5,2,1,"wooshla oinko tid","P1","63P1",NA,"VNP",TRUE
"26936","Experiment2","100-33",63,"Training",28,3,2,1,"wooshla hoppo tid","P2","63P2",NA,"VNP",TRUE
"26937","Experiment2","100-33",63,"Training",29,1,1,1,"wooshla beeko pag","P1","63P1",NA,"VNP",TRUE
"26938","Experiment2","100-33",63,"Training",29,5,1,2,"boingla oinko pag","P2","63P2",NA,"VNP",TRUE
"26939","Experiment2","100-33",63,"Training",30,6,1,1,"wooshla fino pag","P1","63P1",NA,"VNP",TRUE
"26940","Experiment2","100-33",63,"Training",30,1,2,1,"wooshla beeko tid","P2","63P2",NA,"VNP",TRUE
"26941","Experiment2","100-33",63,"Training",31,3,1,1,"wooshla hoppo pag","P1","63P1",NA,"VNP",TRUE
"26942","Experiment2","100-33",63,"Training",31,3,1,2,"boingla hoppo","P2","63P2",NA,"VN",FALSE
"26943","Experiment2","100-33",63,"Training",32,4,1,1,"wooshla bugo pag","P1","63P1",NA,"VNP",TRUE
"26944","Experiment2","100-33",63,"Training",32,5,1,1,"wooshla oinko","P2","63P2",NA,"VN",FALSE
"26945","Experiment2","100-33",63,"Training",33,4,1,2,"boingla bugo pag","P1","63P1",NA,"VNP",TRUE
"26946","Experiment2","100-33",63,"Training",33,5,2,2,"boingla oinko tid","P2","63P2",NA,"VNP",TRUE
"26947","Experiment2","100-33",63,"Training",34,1,1,2,"boingla beeko pag","P1","63P1",NA,"VNP",TRUE
"26948","Experiment2","100-33",63,"Training",34,6,1,2,"boingla fino","P2","63P2",NA,"VN",FALSE
"26949","Experiment2","100-33",63,"Training",35,6,1,2,"boingla fino pag","P1","63P1",NA,"VNP",TRUE
"26950","Experiment2","100-33",63,"Training",35,3,2,2,"boingla hoppo tid","P2","63P2",NA,"VNP",TRUE
"26951","Experiment2","100-33",63,"Training",36,2,1,1,"wooshla trunko pag","P1","63P1",NA,"VNP",TRUE
"26952","Experiment2","100-33",63,"Training",36,4,2,2,"boingla bugo tid","P2","63P2",NA,"VNP",TRUE
"26953","Experiment2","100-33",63,"Training",37,5,1,2,"boingla oinko pag","P1","63P1",NA,"VNP",TRUE
"26954","Experiment2","100-33",63,"Training",37,2,1,2,"boingla trunko pag","P2","63P2",NA,"VNP",TRUE
"26955","Experiment2","100-33",63,"Training",38,2,2,1,"wooshla trunko tid","P1","63P1",NA,"VNP",TRUE
"26956","Experiment2","100-33",63,"Training",38,1,1,1,"wooshla beeko","P2","63P2",NA,"VN",FALSE
"26957","Experiment2","100-33",63,"Training",39,1,2,1,"wooshla beeko tid","P1","63P1",NA,"VNP",TRUE
"26958","Experiment2","100-33",63,"Training",39,4,2,1,"wooshla bugo tid","P2","63P2",NA,"VNP",TRUE
"26959","Experiment2","100-33",63,"Training",40,1,2,2,"boingla beeko tid","P1","63P1",NA,"VNP",TRUE
"26960","Experiment2","100-33",63,"Training",40,6,2,2,"boingla fino tid","P2","63P2",NA,"VNP",TRUE
"26961","Experiment2","100-33",63,"Training",41,5,1,1,"wooshla oinko pag","P1","63P1",NA,"VNP",TRUE
"26962","Experiment2","100-33",63,"Training",41,4,1,2,"boingla bugo","P2","63P2",NA,"VN",FALSE
"26963","Experiment2","100-33",63,"Training",42,3,2,1,"wooshla hoppo tid","P1","63P1",NA,"VNP",TRUE
"26964","Experiment2","100-33",63,"Training",42,2,1,1,"wooshla trunko","P2","63P2",NA,"VN",FALSE
"26965","Experiment2","100-33",63,"Training",43,5,2,2,"boingla oinko tid","P1","63P1",NA,"VNP",TRUE
"26966","Experiment2","100-33",63,"Training",43,2,2,2,"boingla trunko tid","P2","63P2",NA,"VNP",TRUE
"26967","Experiment2","100-33",63,"Training",44,2,2,2,"boingla trunko tid","P1","63P1",NA,"VNP",TRUE
"26968","Experiment2","100-33",63,"Training",44,6,2,1,"wooshla fino tid","P2","63P2",NA,"VNP",TRUE
"26969","Experiment2","100-33",63,"Training",45,4,2,2,"boingla bugo tid","P1","63P1",NA,"VNP",TRUE
"26970","Experiment2","100-33",63,"Training",45,2,2,1,"wooshla trunko tid","P2","63P2",NA,"VNP",TRUE
"26971","Experiment2","100-33",63,"Training",46,6,2,1,"wooshla fino tid","P1","63P1",NA,"VNP",TRUE
"26972","Experiment2","100-33",63,"Training",46,5,2,1,"wooshla oinko tid","P2","63P2",NA,"VNP",TRUE
"26973","Experiment2","100-33",63,"Training",47,3,1,2,"boingla hoppo pag","P1","63P1",NA,"VNP",TRUE
"26974","Experiment2","100-33",63,"Training",47,6,1,1,"wooshla fino pag","P2","63P2",NA,"VNP",TRUE
"26975","Experiment2","100-33",63,"Training",48,6,2,2,"boingla fino tid","P1","63P1",NA,"VNP",TRUE
"26976","Experiment2","100-33",63,"Training",48,3,1,1,"wooshla hoppo","P2","63P2",NA,"VN",FALSE
"26977","Experiment2","100-33",63,"Training",49,1,2,2,"boingla beeko tid","P1","63P1",NA,"VNP",TRUE
"26978","Experiment2","100-33",63,"Training",49,4,1,1,"wooshla bugo","P2","63P2",NA,"VN",FALSE
"26979","Experiment2","100-33",63,"Training",50,2,1,1,"wooshla trunko pag","P1","63P1",NA,"VNP",TRUE
"26980","Experiment2","100-33",63,"Training",50,3,1,1,"wooshla hoppo pag","P2","63P2",NA,"VNP",TRUE
"26981","Experiment2","100-33",63,"Training",51,6,1,2,"boingla fino pag","P1","63P1",NA,"VNP",TRUE
"26982","Experiment2","100-33",63,"Training",51,6,2,2,"boingla fino tid","P2","63P2",NA,"VNP",TRUE
"26983","Experiment2","100-33",63,"Training",52,4,2,2,"boingla bugo tid","P1","63P1",NA,"VNP",TRUE
"26984","Experiment2","100-33",63,"Training",52,5,1,1,"wooshla oinko","P2","63P2",NA,"VN",FALSE
"26985","Experiment2","100-33",63,"Training",53,4,1,1,"wooshla bugo pag","P1","63P1",NA,"VNP",TRUE
"26986","Experiment2","100-33",63,"Training",53,3,2,2,"boingla hoppo tid","P2","63P2",NA,"VNP",TRUE
"26987","Experiment2","100-33",63,"Training",54,1,1,1,"wooshla beeko pag","P1","63P1",NA,"VNP",TRUE
"26988","Experiment2","100-33",63,"Training",54,1,2,2,"boingla beeko tid","P2","63P2",NA,"VNP",TRUE
"26989","Experiment2","100-33",63,"Training",55,6,1,1,"wooshla fino pag","P1","63P1",NA,"VNP",TRUE
"26990","Experiment2","100-33",63,"Training",55,5,2,2,"boingla oinko tid","P2","63P2",NA,"VNP",TRUE
"26991","Experiment2","100-33",63,"Training",56,4,1,2,"boingla bugo pag","P1","63P1",NA,"VNP",TRUE
"26992","Experiment2","100-33",63,"Training",56,1,2,1,"wooshla beeko tid","P2","63P2",NA,"VNP",TRUE
"26993","Experiment2","100-33",63,"Training",57,1,1,2,"boingla beeko pag","P1","63P1",NA,"VNP",TRUE
"26994","Experiment2","100-33",63,"Training",57,4,1,2,"boingla bugo","P2","63P2",NA,"VN",FALSE
"26995","Experiment2","100-33",63,"Training",58,5,1,1,"wooshla oinko pag","P1","63P1",NA,"VNP",TRUE
"26996","Experiment2","100-33",63,"Training",58,1,1,1,"wooshla beeko pag","P2","63P2",NA,"VNP",TRUE
"26997","Experiment2","100-33",63,"Training",59,3,2,2,"boingla hoppo tid","P1","63P1",NA,"VNP",TRUE
"26998","Experiment2","100-33",63,"Training",59,2,2,2,"boingla trunko tid","P2","63P2",NA,"VNP",TRUE
"26999","Experiment2","100-33",63,"Training",60,5,2,1,"wooshla oinko tid","P1","63P1",NA,"VNP",TRUE
"27000","Experiment2","100-33",63,"Training",60,3,2,1,"wooshla hoppo tid","P2","63P2",NA,"VNP",TRUE
"27001","Experiment2","100-33",63,"Training",61,2,2,2,"boingla trunko tid","P1","63P1",NA,"VNP",TRUE
"27002","Experiment2","100-33",63,"Training",61,2,1,1,"wooshla trunko","P2","63P2",NA,"VN",FALSE
"27003","Experiment2","100-33",63,"Training",62,4,2,1,"wooshla bugo tid","P1","63P1",NA,"VNP",TRUE
"27004","Experiment2","100-33",63,"Training",62,3,1,2,"boingla hoppo pag","P2","63P2",NA,"VNP",TRUE
"27005","Experiment2","100-33",63,"Training",63,6,2,2,"boingla fino tid","P1","63P1",NA,"VNP",TRUE
"27006","Experiment2","100-33",63,"Training",63,6,2,1,"wooshla fino tid","P2","63P2",NA,"VNP",TRUE
"27007","Experiment2","100-33",63,"Training",64,3,2,1,"wooshla hoppo tid","P1","63P1",NA,"VNP",TRUE
"27008","Experiment2","100-33",63,"Training",64,2,1,2,"boingla trunko","P2","63P2",NA,"VN",FALSE
"27009","Experiment2","100-33",63,"Training",65,2,1,2,"boingla trunko pag","P1","63P1",NA,"VNP",TRUE
"27010","Experiment2","100-33",63,"Training",65,2,2,1,"wooshla trunko tid","P2","63P2",NA,"VNP",TRUE
